division,officer_1_serial,year,black_stops,total_stops,officer_black_stop_percent,division_black__population_percent,division_black_stop_percent
SOUTHEAST,16860,2018,153,183,0.8360655737704918,0.29518208,0.6166322377436443
SOUTHEAST,17324,2018,160,225,0.7111111111111111,0.29518208,0.6166322377436443
SOUTHEAST,17699,2018,94,123,0.7642276422764228,0.29518208,0.6166322377436443
SOUTHEAST,26057,2018,79,118,0.6694915254237288,0.29518208,0.6166322377436443
SOUTHEAST,44652,2018,385,492,0.782520325203252,0.29518208,0.6166322377436443
SOUTHEAST,45350,2018,73,101,0.7227722772277227,0.29518208,0.6166322377436443
SOUTHEAST,47254,2018,74,117,0.6324786324786325,0.29518208,0.6166322377436443
SOUTHEAST,47267,2018,81,103,0.7864077669902912,0.29518208,0.6166322377436443
SOUTHEAST,47426,2018,108,146,0.7397260273972602,0.29518208,0.6166322377436443
SOUTHEAST,47569,2018,180,238,0.7563025210084033,0.29518208,0.6166322377436443
SOUTHEAST,47628,2018,151,194,0.7783505154639175,0.29518208,0.6166322377436443
SOUTHEAST,47636,2018,113,162,0.6975308641975309,0.29518208,0.6166322377436443
SOUTHEAST,48355,2018,159,205,0.775609756097561,0.29518208,0.6166322377436443
SOUTHEAST,48356,2018,145,185,0.7837837837837838,0.29518208,0.6166322377436443
SOUTHEAST,48586,2018,76,108,0.7037037037037037,0.29518208,0.6166322377436443
SOUTHEAST,48678,2018,186,233,0.7982832618025751,0.29518208,0.6166322377436443
SOUTHEAST,49169,2018,294,438,0.6712328767123288,0.29518208,0.6166322377436443
SOUTHEAST,49349,2018,92,126,0.7301587301587301,0.29518208,0.6166322377436443
SOUTHEAST,49359,2018,132,174,0.7586206896551724,0.29518208,0.6166322377436443
SOUTHEAST,49481,2018,161,222,0.7252252252252253,0.29518208,0.6166322377436443
SOUTHEAST,49575,2018,131,207,0.6328502415458938,0.29518208,0.6166322377436443
SOUTHEAST,49730,2018,88,121,0.7272727272727273,0.29518208,0.6166322377436443
SOUTHEAST,49756,2018,334,493,0.6774847870182555,0.29518208,0.6166322377436443
SOUTHEAST,50675,2018,75,112,0.6696428571428571,0.29518208,0.6166322377436443
SOUTHEAST,50786,2018,199,274,0.7262773722627737,0.29518208,0.6166322377436443
SOUTHEAST,50803,2018,95,151,0.6291390728476821,0.29518208,0.6166322377436443
SOUTHEAST,51234,2018,85,120,0.7083333333333334,0.29518208,0.6166322377436443
SOUTHEAST,51243,2018,129,168,0.7678571428571429,0.29518208,0.6166322377436443
SOUTHEAST,51252,2018,109,130,0.8384615384615385,0.29518208,0.6166322377436443
SOUTHEAST,51261,2018,200,249,0.8032128514056225,0.29518208,0.6166322377436443
SOUTHEAST,51496,2018,251,325,0.7723076923076924,0.29518208,0.6166322377436443
SOUTHEAST,51504,2018,228,327,0.6972477064220184,0.29518208,0.6166322377436443
SOUTHEAST,52833,2018,90,115,0.782608695652174,0.29518208,0.6166322377436443
SOUTHEAST,54155,2018,922,1183,0.779374471682164,0.29518208,0.6166322377436443
SOUTHEAST,54173,2018,400,537,0.74487895716946,0.29518208,0.6166322377436443
SOUTHEAST,54175,2018,251,322,0.7795031055900621,0.29518208,0.6166322377436443
SOUTHEAST,54288,2018,68,106,0.6415094339622641,0.29518208,0.6166322377436443
SOUTHEAST,54301,2018,477,670,0.7119402985074627,0.29518208,0.6166322377436443
SOUTHEAST,54302,2018,968,1367,0.7081199707388441,0.29518208,0.6166322377436443
SOUTHEAST,54609,2018,301,419,0.7183770883054893,0.29518208,0.6166322377436443
SOUTHEAST,54755,2018,339,518,0.6544401544401545,0.29518208,0.6166322377436443
SOUTHEAST,54887,2018,341,492,0.693089430894309,0.29518208,0.6166322377436443
SOUTHEAST,54900,2018,78,118,0.6610169491525424,0.29518208,0.6166322377436443
SOUTHEAST,54999,2018,87,128,0.6796875,0.29518208,0.6166322377436443
SOUTHEAST,55441,2018,289,461,0.6268980477223427,0.29518208,0.6166322377436443
